ID,Country,Gender,Age,Education,Region,Profession,Work_status,Household_members,Income_level,Location_of_resudence,Centre_or_suburbs,Public_transport_service,Car_driving_license,Number_vehicles_in_household,Considering_electric_or_hybrid_vehicle_next_purchase,Know_what_car_sharing_is,Would_subsribe_car_sharing_if_available,Most_frequent_trip_Walk,Most_frequent_trip_Bicycle,Most_frequent_trip_Car_as_Driver,Most_frequent_trip_Car_as_Passenger,Most_frequent_trip_Train,Most_frequent_trip_Underground_or_light_train,Most_frequent_trip_Tram,Most_frequent_trip_Bus,Most_frequent_trip_Motorcycle_or_moped,Destination_most_frequent_trip,Frequency_most_frequent_trip,Problem_most_frequent_trip_Congestion,Problem_most_frequent_trip_Parking,Problem_most_frequent_trip_Lack_of_bicycle_lanes,Problem_most_frequent_trip_Infrequent_public_transport,Problem_most_frequent_trip_Lack_of_public_transport_coverage,Problem_most_frequent_trip_none,Transfers_between_modes_during_frequent_trip,Frequent_trip_duration_in_minutes,Frequent_trip_distance,Concern_environmental_impacts,Preference_tolls_or_traffic_limitation
1,Belgium,Female,49,Upper secondary (high school or similar);,Prov. Oost-Vlaanderen,housewife,Not Employed,two,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,1,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,No,No,No,No,No,…It is outside an urban area,Make this trip every day/ every working day of the week,Yes,Yes,No,No,No,No, ,20,3-5 KM,5,No preferences
2,France,Male,26,"Tertiary and higher (University degree, PhD or similar degrees).",Pays de la Loire,unemployed,Not Employed,four,low,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Difficult to reach with public transport,Yes,3,Probably not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,No,No,No,No,No,"…In an urban area, different from where I live",Make this trip 2-3 days per week,No,Yes,No,Yes,Yes,No, ,20,11-20 KM,8,Probably more acceptable to limit road traffic
3,Czech Republic,Male,50,"Tertiary and higher (University degree, PhD or similar degrees).",Jihovýchod,other employed worker,Employed,four,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Certainly not,Yes,"No, I would not be interested in this service",Yes,Yes,Yes,No,No,No,No,No,No,"…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Yes,No,Yes,No,No,No,Don't know/ No answer,20,less than 3 KM,6,No preferences
4,Sweden,Male,54,"Tertiary and higher (University degree, PhD or similar degrees).",Stockholm,teacher/lecturer,Employed,four,higher middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Relatively served by public transport,Yes,1,Maybe yes maybe not,Unsure/ no answer,Don't know / No answer,No,No,No,No,No,Yes,No,No,No,"…In an urban area, same as where I live",Make this trip every day/ every working day of the week, , , , , , , ,60,11-20 KM,8,Probably more acceptable to pay for less congestion
5,Poland,Male,36,Upper secondary (high school or similar);,Pomorskie,manual worker/agricultural worker/farmer,Employed,four,higher middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,No,1,Probably yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,No,No,No,No,No,Yes,"…In an urban area, same as where I live",Make this trip every day/ every working day of the week, , , , , , , ,30,11-20 KM,8,No preferences
6,Belgium,Male,60,Upper secondary (high school or similar);,Prov. West-Vlaanderen,retired,Not Employed,one  (myself),middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,0,Don't know/no answer,Unsure/ no answer,Don't know / No answer,No,Yes,No,No,No,No,No,No,No,"…In an urban area, different from where I live",Make this trip once per week or less, , , , , , , ,45,6-10 KM,Don't know,No preferences
7,Hungary,Male,49,Upper secondary (high school or similar);,Észak-Magyarország,registered freelance professional,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Difficult to reach with public transport,Yes,2,Probably yes,No,Yes without any influence on my car ownership,No,No,Yes,No,No,No,No,No,No,…It is outside an urban area,Make this trip every day/ every working day of the week,No,Yes,Yes,No,No,No, ,70,more than 50 KM,5,Probably more acceptable to limit road traffic
8,Sweden,Female,39,"Tertiary and higher (University degree, PhD or similar degrees).",Västsverige,teacher/lecturer,Employed,three,higher middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Difficult to reach with public transport,Yes,1,Certainly yes,Yes,"Yes, instead of purchasing a new car",No,Yes,No,No,No,No,No,No,No,"…In an urban area, same as where I live",Make this trip every day/ every working day of the week, , , , , , , ,4,less than 3 KM,10,Definitely more acceptable to pay for less congestion
9,France,Male,27,"Tertiary and higher (University degree, PhD or similar degrees).",Île de France,other self-employed worker,Employed,one  (myself),I prefer not to answer,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,No,0,Don't know/no answer,Yes,"No, I would not be interested in this service",Yes,No,No,No,No,No,No,No,No,"…In an urban area, different from where I live",Make this trip every day/ every working day of the week, , , , , , , ,20,less than 3 KM,8,Definitely more acceptable to limit road traffic
10,Belgium,Female,17,Lower secondary (upper elementary school or similar);,Prov. Vlaams-Brabant,student,Not Employed,four,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Difficult to reach with public transport,No,2,Maybe yes maybe not,Yes,"No, I would not be interested in this service",No,No,No,No,Yes,Yes,No,Yes,No,"…In an urban area, different from where I live",Make this trip 2-3 days per week, , , , , , ,Two,55,11-20 KM,8,Probably more acceptable to limit road traffic
